task_num	requirement_description	GROUND Truth	Requirement ID
4	NLGuidance shall output the equivalent altitude of the vehicle for in-plane navigation. In-plane navigation is defined where the target and the vehicle altitude (3rd component in the input inertial position vectors) are equal.	UNKNOWN	NLG-007
5	The maximum value of the NN output, z, shall always be less than or equal to 1.1, regardless of the input values. 	UNKNOWN	NN-001
5	The minimum value of the NN output, z, shall always be greater than or equal to -0.2, regardless of the input values. 	UNKNOWN	NN-002
5	Using a first order finite backward difference equation, the spatial derivatives of Δz/ Δxt = (z(n,1)-z(n-1))/(xt(n,1)-xt(n-1,1) and Δz/ Δyt = (z(n,1)-z(n-1))/(yt(n,1)-yt(n-1,1) shall never exceed a top bound of +10 or bottom bound of -35 (e.g. -35 <= Δz/ Δ(xt,yt) <= 10), where n denotes an index to the current values and n-1 denotes the prior values in the included truth data for xt and yt.    	UNKNOWN	NN-003
5	The absolute error between the zt truth data and the output z shall never exceed a tolerance of 0.01, for the equivalent input of (xt, yt).	UNKNOWN	NN-004
6	"When the determinant of B(inv(Wp’)B’ is <= 1e-12 as indicated by ridge_on set to Valid, the inversion of the B(inv(Wp’)B’ matrix should be accurate to 6 digits precision in that each element in the check output matrix is within a 1e-6 tolerance with respect to the elements of a 3x3 identity matrix.
 "	UNKNOWN	EB-001
6	When the determinant of B(inv(Wp’)B’ is > 1e-12 as indicated by ridge_on set to Falsifiable, the inversion of the B(inv(Wp’)B’ matrix should be accurate to 12 digits precision in that each element in the check output matrix is within a 1e-12 tolerance with respect to the elements of a 3x3 identity matrix.	UNKNOWN	EB-002
6	The output u vector should be a 5x1 vector.	UNKNOWN	EB-003
6	The 2-norm of the output Buminusd should be less than 0.01.	UNKNOWN	EB-004
6	The output cost J shall be the minimum possible value given the set of input conditions. 	UNKNOWN	EB-005
8	"    1. The SWIM Airspeed algorithm shall output the minimum AGCAS airspeed required to perform a 2g flyup as follows:

Auto GCAS Minimum Vcas (knots) = 
SQRT{[2*Load Factor*Gross Weight]/[Air Density at sea level * 
                Coefficient of Lift Max*Wing Area]} / 1.6891 (ft/s/knots)
where
        Load Factor = 2 gs
        Gross weight of the aircraft
        Air Density at sea level = 0.0023769 slugs/ft^3
        Coefficient of Lift Max = 1.24 (CAT I) and 1.10 (CAT III)
        Wing Area of the F-16 = 300 ft^2
Thus,
IF CAT I, Auto GCAS Minimum Vcas (knots)  = 1.25921 * SQRT(Gross Weight)  + 10.0
IF CAT III, Auto GCAS Minimum Vcas (knots)  = 1.33694 * SQRT(Gross Weight) + 10.0
  "	Valid	SWIM-001a
8	"    2. When a low speed warning is allowed, as computed by the SWIM Airspeed algorithm, a low speed warning shall be Valid when the vehicle air data impact pressure is less than the warning trigger for minimum impact pressure in which a safe AGCAS evasive maneuver can be accomplished where:

The warning trigger for minimum impact pressure in which a safe AGCAS evasive maneuver can be accomplished is computed as

SWIM_Qcmin_lbspft2 = [(-2.0906 + 0.020306*Auto GCAS Minimum Vcas) + 0.1] * (70.7184 (lbspft2/in Hg))


"	Falsifiable	SWIM-001b
9	The Rotation Matrix Output, DCM321, of this Function Shall Equal a 3x3 Matrix Product of a 3x3 Euler 3 (Roll) Rotation Matrix times a 3x3 Euler 2 (Pitch) Rotation Matrix times a 3x3 Euler 1 (Heading) Rotation Matrix.	Falsifiable	SWIM-002
9	The Body Vector Output, Vb, of this Function Shall Equal a 3x1 Vector Product of the 3x3 Rotation Matrix Output, DCM321, times the Input Inertial Vector, Vi.	UNKNOWN	EUL-001
9	The magnitude of the Body Vector Output, Vb, shall equal the magnitude of the Input Inertial Vector, Vi.	Falsifiable	EUL-002.1
9	The Rotation Matrix, DCM321, shall be invertible with the exception of the case where theta = +/- pi/2 radians.	Falsifiable	EUL-003
9	The Rotation Matrix, DCM321, shall provide a distinct mapping from the input vector, Vi, to the output vector, Vb, for each pitch angle, theta. Note: the DCM321 is not distinct for all phi and psi inputs.	UNKNOWN	EUL-004
9	The rows and columns of the Rotation Matrix, DCM321, shall be orthonormal. For instance, denoting r1 as row 1 and r2 as row 2 of DCM321, <r1, r2> = r1 r2T = 0 and <r1, r1> = r1 r1T = 1. Likewise, with c1 as column 1 and c2 as column 2 of DCM321, <c1, c2> = c1 c2T = 0 and <c1, c1> = c1 c1T = 1.	Falsifiable	EUL-006
9	The Rotation Matrix, DCM321, multiplied by the transpose of the Rotation Matrix, DCM321T shall be the Identity (3x3) Matrix.	Falsifiable	EUL-007
9	The determinant of the Rotation Matrix, |DCM321|, shall be equal to 1.0.	Falsifiable	EUL-008
